Rank,Airport,Location,Country,Code,Passengers,Year,Latitude,Longitude,Continent
1,China Guangzhou Baiyun International Airport,"Baiyun-Huadu, Guangzhou, Guangdong",China,CAN/ZGGG,43760427,2020,23.3925,113.298889,Asia
2,United States Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia",United States,ATL/KATL,42918685,2020,33.640411,-84.419853,North America
3,China Chengdu Shuangliu International Airport,"Shuangliu-Wuhou, Chengdu, Sichuan",China,CTU/ZUUU,40741509,2020,30.5737,103.9415,Asia
4,United States Dallas/Fort Worth International Airport,"Dallas-Fort Worth, Texas",United States,DFW/KDFW,39364990,2020,32.89748,-97.040443,North America
5,China Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,SZX/ZGSZ,37916059,2020,22.6368,113.8146,Asia
6,China Chongqing Jiangbei International Airport,"Yubei, Chongqing",China,CKG/ZUCK,34937789,2020,29.71920013,106.6419983,Asia
7,China Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,PEK/ZBAA,34513827,2020,40.072498,116.597504,Asia
8,United States Denver International Airport,"Denver, Colorado",United States,DEN/KDEN,33741129,2020,39.849312,-104.673828,North America
9,China Kunming Changshui International Airport,"Guandu, Kunming, Yunnan",China,KMG/ZPPP,32989127,2020,24.9887,102.7395,Asia

11,China Xi'an Xianyang International Airport,"Weicheng, Xianyang, Shaanxi",China,XIY/ZLXY,31073884,2020,34.4415,108.7508,Asia
12,Japan Tokyo Haneda Airport,"Ōta, Tokyo",Japan,HND/RJTT,30965027,2020,35.553333,139.781113,Asia
13,United States O'Hare International Airport,"Chicago, Illinois",United States,ORD/KORD,30860251,2020,41.978611,-87.904724,North America
14,China Shanghai Pudong International Airport,"Pudong, Shanghai",China,PVG/ZSPD,30476531,2020,31.143333,121.805275,Asia
15,United States Los Angeles International Airport,"Los Angeles, California",United States,LAX/KLAX,28779527,2020,33.942791,-118.410042,North America
16,India Indira Gandhi International Airport,Delhi,India,DEL/VIDP,28501000,2020,28.55616,77.100281,Asia
17,China Hangzhou Xiaoshan International Airport,"Xiaoshan, Hangzhou, Zhejiang",China,HGH/ZSHC,28224342,2020,30.2243,120.434,Asia
