Year_indv,Sum of Passenger_Trips,Sum of Aircraft_Trips
1984,9265132,117721
1985,9985232,127859
1986,10634281,135170
1987,11422910,143046
1988,12778587,153556
1989,9679805,124554
1990,12196059,152038
1991,15984908,186169
1992,16751770,206551
1993,18689073,220405
1994,21665355,252424
1995,23558920,284456
1996,24701444,299211
1997,24840995,301576
1998,24983881,300368
1999,25826954,301935
2000,27919718,334220
2001,28585735,337097
2002,27182777,284539
2003,29934819,293217
2004,34199922,330535
2005,36121467,345402
2006,37990758,340325
2007,40049096,340204
2008,43063354,371664
2009,43946408,372038
2010,47310316,408218
2011,47228232,407637
2012,49897427,438837
2013,51527961,460389
2014,51950453,465353
2015,52396708,477501
2016,53913538,482024
2017,54629078,471363
2018,55486043,463350
2019,55630616,466496
2020,16253974,162163
Grand Total,1158183706,
